Tercero,Número cuenta,Fecha  egreso,Docto. sa.,Vlr. ret. ICA,Vlr. ret. IVA,Vlr. ret. RENTA,Vlr. Egreso,Vlr. Neto causado
9021240,8532174351,1/10/2018,001--00000177-000,$ 8.000.00,$ 0.00,$ 110.000.00,$ 1.072.000.00,$ 1.095.000.00
9021240,8532174351,1/10/2018,001--00000177-000,$ 8.000.00,$ 0.00,$ 110.000.00,$ 1.072.000.00,$ 1.096.000.00
9021240,8532174351,1/10/2018,001--00000177-000,$ 8.000.00,$ 0.00,$ 110.000.00,$ 1.072.000.00,$ 1.097.000.00
9021241,8532174351,1/10/2018,001--00000177-000,$ 8.000.00,$ 0.00,$ 110.000.00,$ 1.072.000.00,$ 1.098.000.00
9021241,8532174351,1/10/2018,001--00000177-000,$ 8.000.00,$ 0.00,$ 110.000.00,$ 1.072.000.00,$ 1.095.000.00
9021241,8532174351,1/10/2018,001--00000177-000,$ 8.000.00,$ 0.00,$ 110.000.00,$ 1.072.000.00,$ 1.096.000.00
9021241,8532174351,1/10/2018,001--00000177-000,$ 8.000.00,$ 0.00,$ 110.000.00,$ 1.072.000.00,$ 1.097.000.00
9021242,8532174351,1/10/2018,001--00000177-000,$ 8.000.00,$ 0.00,$ 110.000.00,$ 1.072.000.00,$ 1.098.000.00
9021242,8532174351,1/10/2018,001--00000177-000,$ 8.000.00,$ 0.00,$ 110.000.00,$ 1.072.000.00,$ 1.095.000.00
9021243,8532174351,1/10/2018,001--00000177-000,$ 8.000.00,$ 0.00,$ 110.000.00,$ 1.072.000.00,$ 1.096.000.00
9021243,8532174351,1/10/2018,001--00000177-000,$ 8.000.00,$ 0.00,$ 110.000.00,$ 1.072.000.00,$ 1.097.000.00
9021243,8532174351,1/10/2018,001--00000177-000,$ 8.000.00,$ 0.00,$ 110.000.00,$ 1.072.000.00,$ 1.098.000.00
